# x,y,z
-3.345653031794298179e-03,-3.715724127386968272e-03,3.750000000000002030e-03
-3.345653031794297311e-03,-3.715724127386962634e-03,3.124999999999998439e-03
-3.535533905932743311e-03,-3.535533905932736372e-03,3.750000000000001596e-03
-3.535533905932743311e-03,-3.535533905932732902e-03,3.125000000000000607e-03
-3.715724127386971307e-03,-3.345653031794288204e-03,4.999999999999998369e-03
-3.715724127386973042e-03,-3.345653031794286903e-03,4.374999999999998682e-03
-3.885729807284855810e-03,-3.146601955249186348e-03,5.000000000000000971e-03
-3.885729807284857111e-03,-3.146601955249186348e-03,4.375000000000002151e-03
-4.045084971874737811e-03,-2.938926261462366206e-03,6.250000000000002949e-03
-4.045084971874736077e-03,-2.938926261462364471e-03,5.624999999999998924e-03
-4.330127018922195863e-03,-2.499999999999997016e-03,5.000000000000001839e-03
-4.330127018922194128e-03,-2.499999999999997450e-03,4.375000000000000416e-03
-4.193352839727122923e-03,-2.723195175075134814e-03,5.000000000000003574e-03
-4.193352839727122056e-03,-2.723195175075133947e-03,4.375000000000000416e-03
-4.567727288213005270e-03,-2.033683215379002065e-03,3.750000000000002030e-03
-4.567727288213002668e-03,-2.033683215379001197e-03,3.124999999999998439e-03
-4.455032620941840743e-03,-2.269952498697730674e-03,3.750000000000000729e-03
-4.455032620941842478e-03,-2.269952498697731975e-03,3.125000000000001475e-03
-4.755282581475768142e-03,-1.545084971874738410e-03,2.500000000000000486e-03
-4.755282581475768142e-03,-1.545084971874736675e-03,1.875000000000000581e-03
-4.667902132486011560e-03,-1.791839747726501090e-03,2.500000000000002220e-03
-4.667902132486009825e-03,-1.791839747726499139e-03,1.875000000000000581e-03
-4.890738003669028132e-03,-1.039558454088799870e-03,-2.515349040166370595e-19
-4.890738003669028132e-03,-1.039558454088799870e-03,1.250000000000000893e-03
-4.829629131445340937e-03,-1.294095225512605866e-03,2.602085213965201217e-20
-4.890738003669025530e-03,-1.039558454088799653e-03,6.250000000000001214e-04
-4.829629131445341804e-03,-1.294095225512603914e-03,1.250000000000000677e-03
-4.829629131445342671e-03,-1.294095225512604131e-03,6.250000000000002299e-04
-2.033683215379008136e-03,-4.567727288213000933e-03,-3.295974604355933518e-19
-2.033683215379008136e-03,-4.567727288213000933e-03,1.249999999999999809e-03
-2.269952498697738481e-03,-4.455032620941836406e-03,2.602085213965201217e-20
-2.033683215379007703e-03,-4.567727288212999198e-03,6.250000000000001214e-04
-2.269952498697742384e-03,-4.455032620941835539e-03,1.250000000000000677e-03
-2.269952498697741516e-03,-4.455032620941837274e-03,6.250000000000002299e-04
-2.500000000000007425e-03,-4.330127018922191526e-03,2.500000000000001353e-03
-2.500000000000005256e-03,-4.330127018922188056e-03,1.875000000000000147e-03
-2.723195175075143921e-03,-4.193352839727117719e-03,2.500000000000002220e-03
-2.723195175075142620e-03,-4.193352839727116851e-03,1.875000000000000581e-03
-2.938926261462368808e-03,-4.045084971874732607e-03,3.749999999999998560e-03
-2.938926261462369242e-03,-4.045084971874732607e-03,3.124999999999998872e-03
-3.146601955249195889e-03,-3.885729807284848437e-03,3.750000000000000729e-03
-3.146601955249198057e-03,-3.885729807284848437e-03,3.125000000000001475e-03
-3.345653031794298179e-03,-3.715724127386968272e-03,5.000000000000001839e-03
-3.345653031794297311e-03,-3.715724127386962634e-03,4.374999999999999549e-03
-3.535533905932743311e-03,-3.535533905932736372e-03,5.000000000000003574e-03
